iddesa,quadrant
7412050009,3.0
7412050011,3.0
7412060003,1.0
7412060004,1.0
7412070011,2.0
7413010016,1.0
7413010017,3.0
7413010018,1.0
7413010019,1.0
7413010020,1.0
7413010021,1.0
7413010022,1.0
7413010026,3.0
7413010027,1.0
7413020001,3.0
7413020008,1.0
7413020009,1.0
7413020011,3.0
7413020013,1.0
7413030001,1.0
7413030002,1.0
7413030003,1.0
7413030004,2.0
7413030005,1.0
7413030011,1.0
7413030012,1.0
7413030024,2.0
7413040001,3.0
7413040002,1.0
7413040003,1.0
7413040004,3.0
7413040005,3.0
7413050001,1.0
7413050004,3.0
7413050005,1.0
7413050006,3.0
7413060008,1.0
7413060009,3.0
7413060010,1.0
7413060011,3.0
7413060012,3.0
7413060013,3.0
7413060015,3.0
7413070001,3.0
7413070002,1.0
7413070003,3.0
7413070004,1.0
7413070014,3.0
7413070015,3.0
7413070016,1.0
7413070017,1.0
7413070018,3.0
7413080002,3.0
7413080003,1.0
7413080007,3.0
7413080008,1.0
7413090001,1.0
7413090002,1.0
7413090003,3.0
7413090004,1.0
7413090005,1.0
7413090006,1.0
7413090007,1.0
7413100014,1.0
7413100016,3.0
7413100017,3.0
7413100018,3.0
7413100020,1.0
7413100021,3.0
7413110002,3.0
7413110003,1.0
7413110004,3.0
7413110005,3.0
7414010001,3.0
7414010003,3.0
7414010004,3.0
7414010005,3.0
7414020001,1.0
7414020002,3.0
7414020003,3.0
7414020010,4.0
7414020011,4.0
7414020013,3.0
7414020014,3.0
7414020028,3.0
7414020029,3.0
7414020030,1.0
7414020033,3.0
7414030009,3.0
7414030016,3.0
7414030026,3.0
7414040001,1.0
7414040002,3.0
7414040005,3.0
7414040006,3.0
7414040008,1.0
7414050001,3.0
7414050002,3.0
7414050003,3.0
7414050006,3.0
7414050007,1.0
7414050010,3.0
7414050012,3.0
7414050014,3.0
7414050015,3.0
7414060001,1.0
7414060002,3.0
7414060008,3.0
7414060010,3.0
7414060011,4.0
7414060013,3.0
7414060014,1.0
7414060017,1.0
7414070003,3.0
7414070006,4.0
7415020012,3.0
7415030007,1.0
7415030010,3.0
7415030020,3.0
7415030021,1.0
7415030022,3.0
7415030023,1.0
7415040012,1.0
7415040020,3.0
7415060010,1.0
7415070001,3.0
7415070003,2.0
7415070008,3.0
